Hour/Generator No.,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
15,584.68,649.65,267.97,301.95,277.19,167.75,155.86,478.91,157.23,704.28,402.44,184.57,105.49,377.02,82.89,180.97,286.53,119.82,92.89,82.89,402.44,73.52,361.94,77.99,339.32,175.68,158.59,56.76,166.8,249.51,466.83,183.11,150.92,73.83,43.7,164.06,45.14,189.15,209.27,113.11,162.87,137.23,249.51,30.96,71.84,27.87,21.65,53.37,42.01,14.44,50.4,45.58,51.59,37.78,41.41,33.88,82.15,35.68,40.53,49.21,18.29,14.21,16.35,22.79,6.02,6.26,6.97,20.7,51.59,36.62,13.95,96.74,92.81,86.09,47.36,33.6,31.9,44.81,41.41,31.77,5.49
16,551.29,612.54,515.28,447.37,410.68,248.54,299.7,471.22,302.33,692.97,395.98,354.91,95.75,267.84,75.23,128.56,203.56,177.53,92.89,75.23,395.98,36.62,257.13,70.78,241.06,337.82,304.96,28.27,320.73,245.51,459.34,180.17,148.49,141.96,39.67,315.48,22.48,186.11,205.91,80.35,115.71,97.49,245.51,30.96,71.84,27.87,0,25.84,20.34,0,24.4,22.07,24.98,18.3,20.05,16.41,29.42,0,11.18,23.83,0,0,0,11.03,0,0,0,0,24.98,0,0,34.65,33.24,30.83,22.93,9.27,8.8,12.36,20.05,15.38,0
17,517.93,575.48,438.06,472.24,433.52,262.36,254.79,533.68,257.02,784.82,448.47,301.72,78.49,98.8,61.67,47.42,75.09,187.4,62.15,61.67,448.47,0,94.85,58.03,88.92,287.19,259.26,0,272.67,278.05,520.22,204.05,168.18,120.69,32.52,268.2,0,210.78,233.2,29.64,42.68,35.96,278.05,20.72,48.06,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,545.8,606.44,313.14,200.44,184,111.36,182.13,527.8,183.73,776.17,443.53,215.68,35.68,272.78,28.03,130.93,207.31,79.54,34.27,28.03,443.53,0,261.87,26.37,245.5,205.3,185.33,0,194.91,274.99,514.49,201.8,166.32,86.27,14.78,191.72,0,208.46,230.63,81.83,117.84,99.29,274.99,11.42,26.51,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,497.54,552.82,386.7,301.95,277.18,167.75,224.92,498.08,226.89,732.47,418.55,266.35,35.67,357.2,28.03,171.45,271.47,119.82,44.21,28.03,418.55,14.95,342.92,26.37,321.48,253.52,228.86,11.54,240.7,259.5,485.52,190.44,156.95,106.54,14.77,236.75,9.17,196.71,217.64,107.16,154.31,130.02,259.5,14.73,34.19,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,373.77,415.3,655.06,301.95,277.19,167.75,381,396.3,384.35,582.8,333.03,451.19,49.23,175.06,38.68,84.03,133.05,119.82,51.29,38.68,333.03,32.21,168.06,36.39,157.56,429.46,387.69,24.87,407.74,206.48,386.31,151.53,124.88,180.47,20.39,401.06,19.77,156.52,173.17,52.52,75.63,63.72,206.48,17.1,39.66,15.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,373.77,415.3,805.48,183.28,168.25,101.82,468.49,190.35,472.6,279.92,159.96,554.79,82.53,189.36,64.85,90.89,143.91,72.73,65.13,64.85,159.96,35.84,181.78,61.01,170.42,528.08,476.71,27.67,501.37,99.17,185.55,72.78,59.98,221.92,34.19,493.15,22.01,75.18,83.18,56.81,81.8,68.92,99.17,21.71,50.37,19.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,454.18,504.65,771.64,67.88,62.32,37.71,448.81,66.57,452.74,97.9,55.94,531.48,82.53,196.72,64.85,94.43,149.51,26.94,85.3,64.85,55.94,37.8,188.85,61.02,177.05,505.89,456.68,29.19,480.3,34.68,64.89,25.45,20.98,212.59,34.19,472.43,23.21,26.29,29.09,59.02,84.98,71.61,34.68,28.43,65.97,25.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,545.8,606.44,694.01,92.83,85.22,51.57,403.66,30.36,407.2,44.64,25.51,478.02,110.65,251.49,86.94,120.71,191.13,36.84,158.73,86.94,25.51,63.37,241.43,81.8,226.34,455,410.74,48.93,431.99,15.81,29.59,11.61,9.57,191.21,45.84,424.91,38.91,11.99,13.26,75.45,108.64,91.54,15.81,52.91,122.75,47.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,566.92,629.91,633.96,200.44,184,111.36,368.73,53.52,371.97,78.7,44.97,436.66,173.4,264.56,136.24,126.99,201.06,79.54,195.23,136.24,44.97,84.97,253.98,128.19,238.1,415.63,375.2,65.6,394.61,27.88,52.17,20.46,16.86,174.66,71.84,388.14,52.17,21.14,23.38,79.37,114.29,96.3,27.88,65.08,150.98,58.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
