1,2,3
19378.94544,53698.673162183215,28975.892853257283
19149.357986516923,53730.68992196159,27709.98929241733
19378.94544,53670.46235278782,29666.547113588756
19378.94544,53215.6224145874,40801.89391098425
19378.94544,54008.572444901176,58548.10081901413
19378.94544,65371.198361799456,65965.99170126303
19378.94544,74333.67769600377,68272.93072462581
21235.616820704545,79571.69015846532,70121.35794460849
21798.664434,79189.14237327181,76002.06901076123
21798.664434,79047.7523281897,77942.92824668606
21798.664434,79028.99294649198,78200.43803503994
21798.664434,79171.12646697645,76249.37310090335
21798.664434,79199.54707500557,75859.24379196056
21798.664434,79177.92859069121,76156.00042754422
21798.664434,78471.62576683435,85851.40979324476
33245.72973597917,78023.9157080988,103587.27849189709
29287.040147402164,77804.45520926361,102599.26034781434
22367.836440950126,77420.87072651583,100872.35081943416
21798.664434,78030.3854719718,91908.3093981177
21798.664434,78896.91193419791,80013.51230803784
19378.94544,74904.56889788,68421.92591822853
19378.94544,54134.41232889188,63094.33594697408
19378.94544,53048.382718833556,44896.23973237102
19378.94544,53397.828567122124,36341.14073489786
19378.94544,53359.71234645453,37274.298286677884
19378.94544,53039.94065567765,45102.917498419636
19378.94544,53941.51088760711,59433.52576922968
19378.94544,64486.03060672514,65739.77958582716
19378.94544,78868.04061138516,69454.81532796414
21798.664434,79338.49116544235,73951.96014050458
21798.664434,79212.94987588971,75675.26374971395
21798.664434,79306.55858866368,74390.29819569566
21246.53979047825,79572.36006831782,70124.37389177407
20354.905882378385,79516.48138426377,69877.81877719163
19378.94544,77892.99545917683,69200.80113238275
19378.94544,78019.24202264499,69233.69029256901
20527.982839494733,79527.86136996838,69925.8410776291
21798.664434,78474.63014687817,85810.16871365234
21798.664434,79339.29477535571,73940.92899987008
21798.664434,79013.74239073522,78409.78220234279
21798.664434,78255.88386268956,88812.89601635395
21798.664434,78948.94789185093,79299.21542290317
19378.94544,78476.40368676129,69352.7879072276
19378.94544,66598.26014920534,66279.23672255082
19378.94544,53775.85099205195,61620.761064173756
19378.94544,52770.94958158505,51688.330587711
19378.94544,53476.07116717645,34425.613075421854
19378.94544,53562.52250541384,32309.119883409847
19378.94544,53603.90760949446,31295.93382527679
19378.94544,53535.57713686042,32968.79372996715
19378.94544,53225.16182370501,40568.35102638849
19378.94544,53941.833954547736,56437.686296506785
19378.94544,65444.36723266082,65984.6906230418
19378.94544,72574.19005236277,67813.7272743314
19378.94544,74774.98913341768,68388.10728769167
19378.94544,74867.75929109011,68412.31909056977
19378.94544,73861.22826410463,68149.62754761138
19378.94544,72596.83926063318,67819.63842153383
19378.94544,73336.50592226333,68012.6818319735
19378.94544,74596.77614795824,68341.59600719805
19378.94544,79104.17041261062,69516.33075381209
21798.664434,79111.83068535964,77063.32549780213
21798.664434,79305.17003667774,74409.35881498434
21798.664434,78879.35441561289,80254.52412235313
21798.664434,78192.02964092062,89689.42205787449
21798.664434,78657.4851195805,83300.12096666158
21798.664434,79600.82032848455,70350.97125029904
19378.94544,67665.98400091229,66551.50488758051
19378.94544,53904.06005049722,59927.99543839828
19378.94544,53019.01644230921,45615.18201371797
19378.94544,53212.841832578604,40869.96784039065
19378.94544,53489.75313744592,34090.652397926046
19378.94544,53405.70333228785,36148.35146576181
19378.94544,53090.69146358396,43860.44116906162
19378.94544,53997.2783009595,58697.21928870119
19378.94544,68716.13436459769,66819.29183466297
19378.94544,76499.12697380134,68837.67704673532
20332.663992238085,79515.01895719719,69871.64749508053
21798.664434,79088.1497353772,77388.39358206073
21798.664434,78731.79638746339,82280.05119087367
21798.664434,78682.59917313851,82955.38071048564
21798.664434,79043.35789011324,78003.25064024277
21798.664434,79455.89098180928,72340.41444033867
19891.994566024136,79486.04449688492,69749.37841242462
21798.664434,79443.67993248899,72508.0353595551
21798.664434,77804.12720490318,95014.15357327327
21798.664434,77437.98689668179,100049.10833259198
28509.266656494503,77761.33726483518,102405.14199645283
27332.831700694012,77696.11845987159,102111.52486794842
21798.664434,77836.048031786,94575.97682234179
21798.664434,79396.10551723979,73161.0887044613
19378.94544,69316.83866820543,66972.4706342836
19378.94544,55722.80725297461,63500.26371372363
19378.94544,52795.3614576992,51090.68145268104
19378.94544,53455.11564479832,34938.64411123519
11926.755431002333,53205.57895660444,25400.166650649855
7558.801812351414,52863.399458647255,24301.3255568
5071.020666477813,52616.82878485182,24301.3255568
6593.375233910048,52767.71343652901,24301.3255568
13462.618289608557,53317.24208953747,25891.342891684133
19378.94544,53542.97592738965,32787.65726385132
19378.94544,53049.03761682629,44880.20656508343
19378.94544,53834.750236275395,56406.26386949783
19378.94544,56117.177465324974,63601.04836030447
19378.94544,61975.44986160659,65098.17943442408
19378.94544,64466.280446419674,65734.73227241512
19378.94544,65243.09156249525,65933.2529210912
19378.94544,64626.51328942285,65775.68112518475
19378.94544,63297.227996149966,65435.971022059144
19378.94544,62094.50698657321,65128.605496154676
19378.94544,67377.51385094285,66477.9453807862
21798.664434,79541.02707291604,71171.75246289551
21798.664434,79526.78786360857,71367.21389503848
19378.94544,78022.79471550575,69234.61582524343
19378.94544,71738.12870249404,67595.52610009194
19378.94544,62536.17507119955,65241.4775098191
19378.94544,54006.42483610038,58576.456056005125
19378.94544,53014.89175499737,45716.16222200566
19378.94544,52957.50291968199,47121.15005042758
19378.94544,53448.74636135726,35094.5762715693
19378.94544,53570.30073379053,32118.694068905384
19378.94544,53560.88806261959,32349.134124761542
19378.94544,53389.45545042465,36546.130539387945
19378.94544,53300.178702971345,56249.40031635419
19378.94544,71356.36256008864,67495.89009518058
19977.27133788101,79491.65152886108,69773.03948683989
21749.735493434062,79603.22123706115,70263.31185310213
21628.543491121425,79595.78848884082,70229.84938612534
21229.387740910704,79571.30812703556,70119.63802423696
19378.94544,78694.10293438932,69409.50189553258
19378.94544,75804.36653709687,68656.68131176817
19378.94544,72732.74271231556,67855.10746476015
19378.94544,71896.79119893213,67636.93495660515
19378.94544,70541.49922128438,67284.75745305118
21798.664434,79523.27589398797,71415.42264791096
21798.664434,77475.12531042002,99530.35815373993
21798.664434,77712.99643010486,96265.1045074933
21798.664434,78075.06716475537,91294.96439913279
21798.664434,78663.5031772386,83217.51117573833
19378.94544,78255.09673383394,69295.13405568877
19378.94544,58782.9812268447,64282.31706847377
19378.94544,52872.34161460241,49206.06077351732
19378.94544,53070.03860412774,44366.06246487082
19378.94544,53122.75260936864,43075.52336149267
19378.94544,53285.67382057108,39086.90225024164
19378.94544,53183.56948718407,41586.61052628744
